ObjectID,Applicant,FacilityType,cnn,LocationDescription,Address,blocklot,block,lot,permit,Status,FoodItems,X,Y,Latitude,Longitude,Schedule,NOISent,Approved,Received,PriorPermit,ExpirationDate,Location
429218,Celtic Catering,Truck,138000,02ND ST: FOLSOM ST to DOW PL (300 - 353),611 FOLSOM ST,3750 087,3750,087,13MFF-0093,APPROVED,Eritrean & Irish Fusion Burgers: Irish Stew: Eritrean Stew:  Shepard's Pie: Beverages,6013638.205,2113844.023,37.7849798870735,-122.396536309753,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0093&ExportPDF=1&Filename=13MFF-0093_schedule.pdf,,03/22/2013 04:11:27 PM,Mar 22 2013  2:25PM,0,03/15/2014 12:00:00 AM,[37.7849799008494,-122.396536309744]
360505,Fisherman Fred's Catering,Truck,140000,02ND ST: HARRISON ST to STILLMAN ST (400 - 459),400 02ND ST,3763001,3763,001,12MFF-0067,EXPIRED,Cold Truck: Pre-packaged sandwiches: salads: hot dogs: burgers: beverages,6014006.486,2113442.394,37.7838975946559,-122.395234021962,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=12MFF-0067&ExportPDF=1&Filename=12MFF-0067_schedule.pdf,,03/14/2012 12:50:48 PM,Mar 14 2012 12:46PM,1,03/15/2013 12:00:00 AM,[37.7838976084329,-122.395234021952]
360485,"Santana ESG, Inc.",Truck,141000,02ND ST: STILLMAN ST to BRYANT ST (454 - 499),461 02ND ST,3764071,3764,071,12MFF-0066,REQUESTED,Tacos: Burritos: Tortas: Quesadillas: Tamales: Mexican Drinks: Aquas Frescas,6014482.737,2113360.554,37.7836993551604,-122.393580626955,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=12MFF-0066&ExportPDF=1&Filename=12MFF-0066_schedule.pdf,,,Mar 14 2012 12:37PM,0,,[37.7836993689376,-122.393580626945]
427206,Linda's Catering,Truck,142000,02ND ST: BRYANT ST to TABER PL (500 - 518),501 02ND ST,3774067,3774,067,13MFF-0038,APPROVED,Hot Dogs: Hamburgers: Nachos: Steaks: Pastas: Asian Dishes: Tri-Tip Sandwiches: Sodas & Water,6014675.196,2113164.273,37.7831711043434,-122.392901049479,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0038&ExportPDF=1&Filename=13MFF-0038_schedule.pdf,,03/25/2013 03:24:25 PM,Mar 11 2013  4:49PM,1,03/15/2014 12:00:00 AM,[37.7831711181211,-122.392901049469]
427343,Mang Hang Catering,Truck,144000,02ND ST: FEDERAL ST to SOUTH PARK (519 - 548),544 02ND ST,3775005,3775,005,13MFF-0039,REQUESTED,COLD TRUCK. Deli: bbq chicken skewer: Chinese spring roll: Chinese fried rice/noodle: fried chicken leg/wing: bbq chicken sandwich: chicken cheese burger: burrito: lumpia. Snack: sunflower seeds: muffins: chips: snickers: kit-kat: 10 types of chocolate. Drinks: Coke: 7-Up: Dr. Pepper: Pepsi: Redbull: Vitamin Water: Rockstar: Coconut Juice: Water. Hot drinks: coffee: tea.,6014572.797,2112894.093,37.7824235632947,-122.393236399398,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0039&ExportPDF=1&Filename=13MFF-0039_schedule.pdf,,,Mar 12 2013 10:39AM,1,03/15/2014 12:00:00 AM,[37.7824235770731,-122.393236399388]
360519,Fisherman Fred's Catering,Truck,147000,02ND ST: BRANNAN ST to TOWNSEND ST (600 - 699),625 02ND ST,3789007,3789,007,12MFF-0067,EXPIRED,Cold Truck: Pre-packaged sandwiches: salads: hot dogs: burgers: beverages,6015195.702,2112613.963,37.7816889753451,-122.391061817287,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=12MFF-0067&ExportPDF=1&Filename=12MFF-0067_schedule.pdf,,03/14/2012 12:50:48 PM,Mar 14 2012 12:46PM,1,03/15/2013 12:00:00 AM,[37.7816889891243,-122.391061817277]
425971,"VK Industries, Inc.",Truck,147000,02ND ST: BRANNAN ST to TOWNSEND ST (600 - 699),625 02ND ST,3789007,3789,007,13MFF-0024,APPROVED,Indian Street Food,6015195.702,2112613.963,37.7816889753451,-122.391061817287,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0024&ExportPDF=1&Filename=13MFF-0024_schedule.pdf,,03/05/2013 10:39:00 AM,Mar  5 2013 10:35AM,0,03/15/2014 12:00:00 AM,[37.7816889891243,-122.391061817277]
438410,Steve's Mobile Deli,Truck,148000,02ND ST: TOWNSEND ST to KING ST (700 - 799),750 02ND ST,3794002A,3794,002A,13MFF-0104,APPROVED,Cold Truck: Pre-packaged sandwiches: Burgers: Hot Dogs: Muffin Sandwiches: Enchiladas: Bagels: Burritos: Salads: Snacks: Beverages,6015411.83,2111996.555,37.7800057026855,-122.390270961311,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0104&ExportPDF=1&Filename=13MFF-0104_schedule.pdf,,06/11/2013 01:06:30 PM,Apr 18 2013  9:15AM,1,03/15/2014 12:00:00 AM,[37.7800057164663,-122.390270961301]
305735,Bombay Blvd.,Truck,165000,03RD ST: JESSIE ST to MISSION ST (68 - 99),86 03RD ST,3706093,3706,093,11MFF-0040,REQUESTED,Indian Style: BBQ: Variety of Curries: Rice: Wraps: Breads (Naan: Rotis: Parathas): Desserts: Pizza.  Beverages: Condiments: Indian Soups: Salads & Appetizer Varieties.,6011914.846,2114325.584,37.7862060821039,-122.402532491346,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=11MFF-0040&ExportPDF=1&Filename=11MFF-0040_schedule.pdf,,,Mar  7 2011  4:38PM,0,,[37.7862060958787,-122.402532491336]
355546,"Viet Duong Co., Ltd.",Truck,172000,03RD ST: HARRISON ST to PERRY ST (400 - 432),401 03RD ST,3763116,3763,116,12MFF-0015,REQUESTED,Vietnamese Pho (various noodle soups): Egg rolls: spring rolls: vermicelli: noodles: various rice plates: Vietnamese sandwiches: sticky rice: various salads: Vietnamese coffee: Thai tea: snacks: beverages: yogurt: fruit cups,6013571.584,2112961.241,37.7825522631621,-122.396704891005,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=12MFF-0015&ExportPDF=1&Filename=12MFF-0015_schedule.pdf,,,Feb 21 2012  2:09PM,0,,[37.7825522769404,-122.396704890996]
428037,Tacos El Ojo De Agua,Truck,177000,03RD ST: SOUTH PARK to VARNEY PL (548 - 586),551 03RD ST,3775025,3775,025,13MFF-0080,APPROVED,Tacos: Burritos: Tortas: Quesadillas: Salads: Soup: Fruits: Juices: Soda: Water,6014157.282,2112255.562,37.7806472100484,-122.394629181662,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0080&ExportPDF=1&Filename=13MFF-0080_schedule.pdf,,04/04/2013 10:32:10 AM,Mar 15 2013  3:33PM,0,03/15/2014 12:00:00 AM,[37.7806472238285,-122.394629181652]
426151,Got Snacks,Push Cart,184001,03RD ST: TERRY A FRANCOIS BLVD to CHANNEL (1000 - 1099),1020 03RD ST,8714002,8714,002,13MFF-0028,APPROVED,sunflower seeds: crackerjacks: bottled water: peanuts: candy,6015168.306,2110364.21,37.7755101380495,-122.390999306002,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0028&ExportPDF=1&Filename=13MFF-0028_schedule.pdf,,04/03/2013 01:46:29 PM,Mar  6 2013 12:07PM,1,03/15/2014 12:00:00 AM,[37.7755101518346,-122.390999305993]
426316,DO UC US Mobile Catering,Truck,185104,03RD ST: MISSION BAY BLVD to SOUTH ST (1401 - 1599) -- EAST --,1501 03RD ST,8720013,8720,013,13MFF-0033,APPROVED,Cold truck: sandwiches: salads: beverages: chips: candy: cookies: coffee: tea: drinks,6015663.184,2108672.393,37.7708922298159,-122.389169231936,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0033&ExportPDF=1&Filename=13MFF-0033_schedule.pdf,,03/08/2013 10:20:17 AM,Mar  8 2013 10:11AM,1,03/15/2014 12:00:00 AM,[37.7708922436055,-122.389169231926]
450879,Two G's Catering,Truck,185105,03RD ST: SOUTH ST to 16TH ST (1601 - 1799) -- EAST --,1799 03RD ST,8722001,8722,001,13MFF-0111,APPROVED,Cold Truck: Hot & Cold Sandwiches: Bagels: Burritos: Soups: Hot Dogs: Tacos: Pork Buns: BBQ Meat: Fruit: Various Beverages: Pasties: Pre-Packaged Snacks: Candy: Salads: Muffins: Scones: Brownies: Croissants: Energy Bars: Noodle Bowls,6016110.001,2107608.418,37.7679955456856,-122.387549426547,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0111&ExportPDF=1&Filename=13MFF-0111_schedule.pdf,,05/30/2013 10:06:39 AM,May 30 2013 10:00AM,1,03/15/2014 12:00:00 AM,[37.767995559478,-122.387549426537]
427603,John's Catering #5,Truck,186201,03RD ST: 16TH ST to MARIPOSA ST (1800 - 1998) -- WEST --,1900 03RD ST,3992003,3992,003,13MFF-0057,APPROVED,Cold Truck: Soda:Chips:Candy: Cold/Hot Sandwiches: Donuts.  (Pitco Wholesale),6015473.195,2106569.082,37.7651064631908,-122.38967948729,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0057&ExportPDF=1&Filename=13MFF-0057_schedule.pdf,,03/13/2013 02:46:23 PM,Mar 13 2013  2:15PM,1,03/15/2014 12:00:00 AM,[37.765106476986,-122.389679487281]
434603,May Sun Kitchen,Truck,187101,03RD ST: MARIPOSA ST to 18TH ST (2001 - 2099) -- EAST --,2085 03RD ST,3994002,3994,002,13MFF-0100,APPROVED,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages,6015805.902,2105904.117,37.7632990560446,-122.388482306805,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0100&ExportPDF=1&Filename=13MFF-0100_schedule.pdf,,04/08/2013 09:08:58 AM,Apr  5 2013  8:29AM,1,03/15/2014 12:00:00 AM,[37.7632990698416,-122.388482306796]
434637,May Sun Kitchen,Truck,187201,03RD ST: MARIPOSA ST to 18TH ST (2000 - 2098) -- WEST --,2030 03RD ST,3995105,3995,105,13MFF-0100,APPROVED,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages,6015620.25,2106039.246,37.7636598013494,-122.389133857405,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0100&ExportPDF=1&Filename=13MFF-0100_schedule.pdf,,04/08/2013 09:08:58 AM,Apr  5 2013  8:29AM,1,03/15/2014 12:00:00 AM,[37.763659815146,-122.389133857395]
437222,Natan's Catering,Truck,188101,03RD ST: 18TH ST to 19TH ST (2101 - 2199) -- EAST --,2101 03RD ST,4045004,4045,004,13MFF-0102,APPROVED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,,,,,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,,04/12/2013 02:43:48 PM,Apr 12 2013  2:33PM,1,03/15/2014 12:00:00 AM,
428075,May Catering,Truck,191101,03RD ST: 22ND ST to 23RD ST (2501 - 2699) -- EAST --,2565 03RD ST,4173001,4173,001,13MFF-0081,APPROVED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,6015998.409,2103503.194,37.7567172998371,-122.387648962993,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0081&ExportPDF=1&Filename=13MFF-0081_schedule.pdf,,03/15/2013 03:49:09 PM,Mar 15 2013  3:46PM,1,03/15/2014 12:00:00 AM,[37.7567173136405,-122.387648962983]
429918,M M Catering,Truck,192201,03RD ST: 23RD ST to 24TH ST (2700 - 2798) -- WEST --,2700 03RD ST,4230001,4230,001,13MFF-0096,APPROVED,Cold Truck: sandwiches: corndogs: tacos: yogurt: snacks: candy: hot and cold drinks,6015750.256,2102782.473,37.7547246040128,-122.388456870373,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0096&ExportPDF=1&Filename=13MFF-0096_schedule.pdf,,03/26/2013 10:19:07 AM,Mar 26 2013 10:15AM,1,03/15/2014 12:00:00 AM,[37.754724617818,-122.388456870364]
428015,F & C Catering,Truck,193201,03RD ST: 24TH ST to 25TH ST (2800 - 2898) -- WEST --,2890 03RD ST,4246003,4246,003,13MFF-0079,APPROVED,Cold Truck: Hot/Cold Sandwiches: Water: Soda: Juice: Snacks: Milk: Candies: Canned Food: Soups: Cup of Noodles: Fruit: Salad,6015821.245,2102192.556,37.7531087498713,-122.388170202066,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0079&ExportPDF=1&Filename=13MFF-0079_schedule.pdf,,04/30/2013 03:37:27 PM,Mar 15 2013  1:55PM,1,03/15/2014 12:00:00 AM,[37.7531087636781,-122.388170202056]
428020,F & C Catering,Truck,193201,03RD ST: 24TH ST to 25TH ST (2800 - 2898) -- WEST --,2800 03RD ST,4246001,4246,001,13MFF-0079,APPROVED,Cold Truck: Hot/Cold Sandwiches: Water: Soda: Juice: Snacks: Milk: Candies: Canned Food: Soups: Cup of Noodles: Fruit: Salad,6015771.139,2102415.24,37.7537174169021,-122.388359021044,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0079&ExportPDF=1&Filename=13MFF-0079_schedule.pdf,,04/30/2013 03:37:27 PM,Mar 15 2013  1:55PM,1,03/15/2014 12:00:00 AM,[37.7537174307084,-122.388359021034]
428078,May Catering,Truck,193201,03RD ST: 24TH ST to 25TH ST (2800 - 2898) -- WEST --,2800 03RD ST,4246001,4246,001,13MFF-0081,APPROVED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,6015771.139,2102415.24,37.7537174169021,-122.388359021044,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0081&ExportPDF=1&Filename=13MFF-0081_schedule.pdf,,03/15/2013 03:49:09 PM,Mar 15 2013  3:46PM,1,03/15/2014 12:00:00 AM,[37.7537174307084,-122.388359021034]
429043,Tacos El Flaco,Truck,194101,03RD ST: 25TH ST to 26TH ST (2901 - 2999) -- EAST --,2901 03RD ST,4296010,4296,010,13MFF-0012,APPROVED,Tacos: Burritos: Tortas: Quesadillas: Chips & Salsa & Various Beverages,6016154.266,2101929.534,37.7524049924783,-122.387000196298,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0012&ExportPDF=1&Filename=13MFF-0012_schedule.pdf,,06/10/2013 11:26:55 AM,Feb 25 2013 11:41AM,0,03/15/2014 12:00:00 AM,[37.7524050062858,-122.387000196288]
427902,Quan Catering,Truck,194201,03RD ST: 25TH ST to 26TH ST (2900 - 2998) -- WEST --,2920 03RD ST,4295014,4295,014,13MFF-0071,APPROVED,Cold Truck: Soft drinks: cup cakes: potato chips: cookies: gum: sandwiches (hot & cold): peanuts: muffins: coff (hot & cold): water: juice: yoplait: milk: orange juice: sunflower seeds: can foods: burritos: buscuits: chimichangas: rice krispies,6015872.066,2101777.398,37.7519716288769,-122.387965483801,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0071&ExportPDF=1&Filename=13MFF-0071_schedule.pdf,,03/29/2013 09:33:44 AM,Mar 15 2013 10:16AM,1,03/15/2014 12:00:00 AM,[37.7519716426848,-122.387965483791]
434629,May Sun Kitchen,Truck,195201,03RD ST: 26TH ST to CESAR CHAVEZ ST (3000 - 3098) -- WEST --,3000 03RD ST,4315008,4315,008,13MFF-0100,APPROVED,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages,6015877.515,2101228.261,37.7504641155225,-122.387908325902,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0100&ExportPDF=1&Filename=13MFF-0100_schedule.pdf,,04/08/2013 09:08:58 AM,Apr  5 2013  8:29AM,1,03/15/2014 12:00:00 AM,[37.7504641293319,-122.387908325892]
434614,May Sun Kitchen,Truck,196000,03RD ST: CESAR CHAVEZ ST to MARIN ST (3100 - 3199),3150 03RD ST,4355006,4355,006,13MFF-0100,APPROVED,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages,6015847.697,2100856.956,37.7494429376004,-122.387985532504,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0100&ExportPDF=1&Filename=13MFF-0100_schedule.pdf,,04/08/2013 09:08:58 AM,Apr  5 2013  8:29AM,1,03/15/2014 12:00:00 AM,[37.7494429514107,-122.387985532494]
434626,May Sun Kitchen,Truck,197101,03RD ST: MARIN ST to ARTHUR AVE \ CARGO WAY (3201 - 3399) -- EAST --,3305 03RD ST,4502A002,4502A,002,13MFF-0100,APPROVED,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages,6018751.714,2098754.754,37.7438311721327,-122.377797368962,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0100&ExportPDF=1&Filename=13MFF-0100_schedule.pdf,,04/08/2013 09:08:58 AM,Apr  5 2013  8:29AM,1,03/15/2014 12:00:00 AM,[37.7438311859485,-122.377797368952]
434631,May Sun Kitchen,Truck,197101,03RD ST: MARIN ST to ARTHUR AVE \ CARGO WAY (3201 - 3399) -- EAST --,3255 03RD ST,4377001,4377,001,13MFF-0100,APPROVED,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages,6016160.221,2100487.333,37.7484453388377,-122.38687903198,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0100&ExportPDF=1&Filename=13MFF-0100_schedule.pdf,,04/08/2013 09:08:58 AM,Apr  5 2013  8:29AM,1,03/15/2014 12:00:00 AM,[37.748445352649,-122.38687903197]
437220,Natan's Catering,Truck,197101,03RD ST: MARIN ST to ARTHUR AVE \ CARGO WAY (3201 - 3399) -- EAST --,3201 03RD ST,4377001,4377,001,13MFF-0102,APPROVED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6016160.221,2100487.333,37.7484453388377,-122.38687903198,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,,04/12/2013 02:43:48 PM,Apr 12 2013  2:33PM,1,03/15/2014 12:00:00 AM,[37.748445352649,-122.38687903197]
427908,Quan Catering,Truck,198101,03RD ST: ARTHUR AVE \ CARGO WAY to BURKE AVE (3401 - 3499) -- EAST --,3433 03RD ST,5203023,5203,023,13MFF-0071,APPROVED,Cold Truck: Soft drinks: cup cakes: potato chips: cookies: gum: sandwiches (hot & cold): peanuts: muffins: coff (hot & cold): water: juice: yoplait: milk: orange juice: sunflower seeds: can foods: burritos: buscuits: chimichangas: rice krispies,,,,,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0071&ExportPDF=1&Filename=13MFF-0071_schedule.pdf,,03/29/2013 09:33:44 AM,Mar 15 2013 10:16AM,1,03/15/2014 12:00:00 AM,
427927,Park's Catering,Truck,198201,03RD ST: ARTHUR AVE \ CARGO WAY to BURKE AVE (3400 - 3498) -- WEST --,3450 03RD ST,5211029,5211,029,13MFF-0072,APPROVED,Cold Truck: Hamburger: cheeseburgers: hot dogs: hot sandwiches: cold sandwiches: egg muffins: cup of noodles: corn dogs: canned soup: coffee: hot cocoa: hot tea: gatorade: juice: milk: soda: water: fruits: fruit salad: rice pudding: yogurt: candy bars: chips: cookies: donuts: granola bars: muffins,6015874.731,2099503.899,37.7457292216884,-122.387797650837,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0072&ExportPDF=1&Filename=13MFF-0072_schedule.pdf,,04/04/2013 08:44:08 AM,Mar 15 2013 10:24AM,1,03/15/2014 12:00:00 AM,[37.7457292355024,-122.387797650827]
